stim,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,trials_task.thisRepN,trials_task.thisTrialN,trials_task.thisN,trials_task.thisIndex,instr_text.started,instr_text.stopped,fix.started,fix.stopped,grating.started,grating.stopped,triplets.started,triplets.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,task_instruct.started,task_instruct.stopped,fix_2.started,fix_2.stopped,grating_2.started,grating_2.stopped,triplets_2.started,triplets_2.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.started,key_resp_4.stopped,key_resp_4.rt,participant,session,date,expName,psychopyVersion,frameRate,
332,0,10,10,10,,,,,,,49.12019420001889,49.62108490001992,49.12019420001889,49.62108490001992,49.62108490001992,48.63690450001741,None,0,,49.62108490001992,48.63690450001741,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
311,0,11,11,11,,,,,,,53.10362619999796,53.604384600010235,53.10362619999796,53.604384600010235,53.604384600010235,52.62018550001085,None,0,,53.604384600010235,52.62018550001085,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
003,0,12,12,12,,,,,,,57.086951000004774,57.58761499999673,57.086951000004774,57.58761499999673,57.58761499999673,56.60352880001301,None,0,,57.58761499999673,56.60352880001301,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
003,0,13,13,13,,,,,,,61.07026279999991,61.57090930000413,61.07026279999991,61.57090930000413,61.57090930000413,60.586811899993336,None,0,,61.57090930000413,60.586811899993336,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
322,0,14,14,14,,,,,,,65.05356500000926,65.55436440001358,65.05356500000926,65.55436440001358,65.55436440001358,64.57016110001132,None,0,,65.55436440001358,64.57016110001132,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
100,0,15,15,15,,,,,,,69.03691130000516,69.53739000001224,69.03691130000516,69.53739000001224,69.53739000001224,68.55341980000958,None,0,,69.53739000001224,68.55341980000958,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
221,0,16,16,16,,,,,,,73.02032650000183,73.52094310001121,73.02032650000183,73.52094310001121,73.52094310001121,72.5368465000065,None,0,,73.52094310001121,72.5368465000065,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
020,0,17,17,17,,,,,,,77.0034394999966,77.50435840000864,77.0034394999966,77.50435840000864,77.50435840000864,76.52013300001272,None,0,,77.50435840000864,76.52013300001272,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
100,0,18,18,18,,,,,,,80.9881348000199,81.4877413000213,80.9881348000199,81.4877413000213,81.4877413000213,80.50358160000178,None,0,,81.4877413000213,80.50358160000178,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
233,0,19,19,19,,,,,,,85.022136900021,85.5222422000079,85.022136900021,85.5222422000079,85.5222422000079,84.52718090001144,None,0,,85.5222422000079,84.52718090001144,,,,,,,,,,,,,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
322,,,,,0,0,0,110,,,,,,,,,,,,,,88.5214879999985,None,117.25582140000188,117.75572780001676,117.25582140000188,117.75572780001676,117.75572780001676,None,None,0,117.75572780001676,None,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
100,,,,,0,1,1,25,,,,,,,,,,,,,,,,121.28794619999826,121.78900449999492,121.28794619999826,121.78900449999492,121.78900449999492,120.79028450002079,None,0,121.78900449999492,120.79028450002079,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
003,,,,,0,2,2,180,,,,,,,,,,,,,,,,125.25500450000982,125.75578750000568,125.25500450000982,125.75578750000568,125.75578750000568,None,None,0,125.75578750000568,None,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
232,,,,,0,3,3,118,,,,,,,,,,,,,,,,129.238105299999,129.7399172000005,129.238105299999,129.7399172000005,129.7399172000005,128.75463209999725,None,0,129.7399172000005,128.75463209999725,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
221,,,,,0,4,4,66,,,,,,,,,,,,,,,,133.2215947000077,133.72223179999855,133.2215947000077,133.72223179999855,133.72223179999855,132.73805740001262,None,0,133.72223179999855,132.73805740001262,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
003,,,,,0,5,5,190,,,,,,,,,,,,,,,,137.2049040000129,137.7056722000125,137.2049040000129,137.7056722000125,137.7056722000125,136.72146309999516,None,0,137.7056722000125,136.72146309999516,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
020,,,,,0,6,6,123,,,,,,,,,,,,,,,,141.20487950000097,141.7056080000184,141.20487950000097,141.7056080000184,141.7056080000184,140.71088130000862,down,0,141.7056080000184,140.71088130000862,1.1865709999983665,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
221,,,,,0,7,7,173,,,,,,,,,,,,,,,,145.20518980000634,145.70629110001028,145.20518980000634,145.70629110001028,145.70629110001028,144.70465170001262,None,0,145.70629110001028,144.70465170001262,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
003,,,,,0,8,8,156,,,,,,,,,,,,,,,,149.1880625000049,149.68897250000737,149.1880625000049,149.68897250000737,149.68897250000737,148.70465679999324,None,0,149.68897250000737,148.70465679999324,,1,001,2021_Oct_01_1123,MSIT_v2021-1-4_from-scratch,2021.1.4,59.98667096147731,
