stim,trials_prac.thisRepN,trials_prac.thisTrialN,trials_prac.thisN,trials_prac.thisIndex,instr_text.started,instr_text.stopped,fix.started,fix.stopped,grating.started,grating.stopped,triplets.started,triplets.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
233,0,0,0,0,7.747221500001615,None,10.15571949997684,10.662853199988604,10.15571949997684,10.662853199988604,10.646120999997947,None,down,1,0.8130998999986332,10.646120999997947,None,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
331,0,1,1,1,,,14.095526499993866,14.596234299999196,14.095526499993866,14.596234299999196,14.596234299999196,None,right,0,1.534937299991725,14.596234299999196,None,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
232,0,2,2,2,,,18.078961699997308,18.579615199996624,18.078961699997308,18.579615199996624,18.579615199996624,None,right,1,0.8796918999869376,18.579615199996624,None,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
100,0,3,3,3,,,22.07884179998655,22.57962909998605,22.07884179998655,22.57962909998605,22.57962909998605,21.58078389998991,left,1,0.8315119000035338,22.57962909998605,21.58078389998991,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,4,4,4,,,26.062212199991336,26.56301829998847,26.062212199991336,26.56301829998847,26.56301829998847,25.578809400001774,right,1,0.6082001999893691,26.56301829998847,25.578809400001774,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
322,0,5,5,5,,,30.045576100004837,30.54628739997861,30.045576100004837,30.54628739997861,30.54628739997861,29.562140199996065,None,0,,30.54628739997861,29.562140199996065,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
020,0,6,6,6,,,34.02895209999406,34.52968849998433,34.02895209999406,34.52968849998433,34.52968849998433,33.5453955999983,down,1,0.8974848000216298,34.52968849998433,33.5453955999983,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,7,7,7,,,38.01216359998216,38.51285639998969,38.01216359998216,38.51285639998969,38.51285639998969,37.52880679999362,right,1,0.46636980000766926,38.51285639998969,37.52880679999362,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
212,0,8,8,8,,,41.99545539999963,42.49627039997722,41.99545539999963,42.49627039997722,42.49627039997722,41.51209039997775,right,0,0.7068917000142392,42.49627039997722,41.51209039997775,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
221,0,9,9,9,,,45.97899109998252,46.47990999999456,45.97899109998252,46.47990999999456,46.47990999999456,45.49549420000403,left,1,1.4113211999938358,46.47990999999456,45.49549420000403,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,10,10,10,,,49.96220119998907,50.46306280000135,49.96220119998907,50.46306280000135,50.46306280000135,49.47887459999765,right,1,1.4600296000135131,50.46306280000135,49.47887459999765,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,11,11,11,,,53.94557369998074,54.44634049999877,53.94557369998074,54.44634049999877,54.44634049999877,53.46206039999379,down,0,1.3167849000019487,54.44634049999877,53.46206039999379,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
003,0,12,12,12,,,57.92883729998721,58.42947780000395,57.92883729998721,58.42947780000395,58.42947780000395,57.44545289999223,left,0,1.7017053999879863,58.42947780000395,57.44545289999223,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
100,0,13,13,13,,,61.91212969998014,62.412943899980746,61.91212969998014,62.412943899980746,62.412943899980746,61.42869669999345,None,0,,62.412943899980746,61.42869669999345,1,001,2021_Oct_01_1119,MSIT_v2021-1-4_from-scratch,2021.1.4,59.96257135718122,
